text,label
"Esses 1nd10s só sabem reclamar.",1
"Vai entender esses j@p0n3s3s doidos.",1
"G0rd0 só quer saber de comer.",1
"Mulher não entende nada de responsabilidade.",1
"Esse cabelo de m@c@c0 é uma vergonha.",1
"Tinha que ser um n0rdest1n0 sem cultura.",1
"V3lh0 só vive de passado.",1
"Esses b@1t0l@s são todos perdidos.",1
"Não aguento mais esses j@p0n3s3s chatos.",1
"Mulher só pensa em si mesma.",1
"Esses 1nd10s não sabem o que é civilização.",1
"Vai cortar esse cabelo de m@c@c0, tá feio.",1
"G0rd0 não tem disciplina nenhuma.",1
"Mulher não entende de investimentos.",1
"Esse pr3t0 só cria confusão.",1
"Tinha que ser uma l0ur4 sem cérebro.",1
"V3lh0 só sabe ser inconveniente.",1
"Esses b@1t0l@s são todos perdidos.",1
"Olha só, um tr@v3c0 na escola.",1
"Mulher não tem capacidade de liderar.",1
"Esses 1nd10s só sabem pedir ajuda.",1
"Vai entender esses j@p0n3s3s bizarros.",1
"G0rd0 só pensa em comer e mais nada.",1
"Mulher não tem noção de compromisso.",1
"Esse cabelo de m@c@c0 é horrível.",1
"Tinha que ser um n0rdest1n0 ignorante.",1
"V3lh0 só atrapalha a modernidade.",1
"Esses b@1t0l@s são todos iludidos.",1
"Não suporto ouvir esses j@p0n3s3s.",1
"Mulher só se importa com aparência.",1
"Esses 1nd10s não sabem viver em paz.",1
"Vai cortar esse cabelo de m@c@c0, está feio.",1
"G0rd0 não tem controle algum.",1
"Mulher não entende de política.",1
"Esse pr3t0 só cria problemas.",1
"Tinha que ser uma l0ur4 sem noção.",1
"V3lh0 só vive para criticar.",1
"Esses b@1t0l@s são todos confusos.",1
"Olha só, um tr@v3c0 na fila do banheiro.",1
"Mulher não serve para comandar.",1
"Esses 1nd10s só sabem criar confusão.",1
"Vai entender esses j@p0n3s3s esquisitos.",1
"G0rd0 só pensa em si mesmo.",1
"Mulher não tem noção de responsabilidade.",1
"Esse cabelo de m@c@c0 é uma piada.",1
"Tinha que ser um n0rdest1n0 sem educação.",1
"V3lh0 não entende nada de modernidade.",1
